index, label, translation, path
0, 1, one, hand_signs_images/asl_numbers/001.png
1, 10, ten, hand_signs_images/asl_numbers/010.png
2, 2, two, hand_signs_images/asl_numbers/002.png
3, 3, three, hand_signs_images/asl_numbers/003.png
4, 4, four, hand_signs_images/asl_numbers/004.png
5, 5, five, hand_signs_images/asl_numbers/005.png
6, 6, six, hand_signs_images/asl_numbers/006.png
7, 7, seven, hand_signs_images/asl_numbers/007.png
8, 8, eight, hand_signs_images/asl_numbers/008.png
9, 9, nine, hand_signs_images/asl_numbers/009.png
10, y, Y, hand_signs_images/asl_alphabet/Y.png
