THUMB, INDEX, MIDDLE, RING, LITTLE, LABEL
166, 20, 115, 155, 131, 1
179, 33, 126, 163, 97, 1
159, 3, 153, 153, 160, 1
107, 11, 139, 173, 90, 1
178, 25, 160, 160, 123, 1
136, 37, 149, 106, 168, 1
112, 11, 123, 91, 130, 1
144, 34, 126, 109, 123, 1
100, 11, 94, 135, 134, 1
151, 13, 113, 126, 124, 1
112, 30, 116, 93, 161, 1
165, 9, 103, 122, 127, 1
119, 9, 156, 165, 95, 1
152, 36, 105, 137, 116, 1
122, 10, 145, 173, 102, 1
117, 31, 171, 108, 135, 1
142, 31, 148, 155, 94, 1
125, 31, 97, 161, 137, 1
102, 1, 132, 138, 159, 1
177, 29, 155, 125, 91, 1
161, 41, 166, 115, 140, 1
134, 15, 94, 131, 91, 1
120, 8, 171, 131, 162, 1
141, 25, 92, 176, 174, 1
107, 3, 96, 93, 153, 1
116, 44, 105, 179, 158, 1
135, 7, 108, 151, 121, 1
114, 39, 165, 149, 93, 1
97, 22, 132, 130, 172, 1
99, 38, 147, 91, 93, 1
113, 12, 97, 179, 128, 1
180, 20, 170, 160, 151, 1
97, 5, 148, 153, 105, 1
121, 16, 140, 171, 120, 1
161, 43, 145, 155, 137, 1
156, 16, 117, 105, 137, 1
169, 22, 150, 152, 133, 1
98, 23, 175, 159, 116, 1
112, 6, 128, 101, 145, 1
165, 19, 120, 102, 158, 1
122, 2, 169, 175, 161, 1
117, 0, 131, 99, 96, 1
109, 10, 146, 123, 107, 1
143, 4, 168, 162, 170, 1
134, 16, 123, 92, 127, 1
140, 41, 159, 135, 102, 1
144, 25, 158, 139, 133, 1
123, 15, 92, 125, 105, 1
177, 24, 163, 158, 116, 1
145, 23, 144, 100, 125, 1
131, 42, 146, 157, 141, 1
169, 5, 162, 169, 151, 1
92, 22, 114, 157, 115, 1
163, 33, 162, 138, 161, 1
90, 45, 139, 145, 126, 1
127, 23, 156, 177, 138, 1
108, 28, 152, 119, 107, 1
91, 0, 96, 120, 170, 1
140, 0, 159, 137, 180, 1
107, 23, 164, 153, 94, 1
104, 35, 93, 109, 98, 1
135, 39, 164, 177, 165, 1
152, 27, 111, 175, 134, 1
152, 33, 167, 144, 144, 1
112, 41, 122, 161, 162, 1
142, 25, 175, 103, 136, 1
162, 29, 146, 130, 91, 1
171, 10, 149, 130, 170, 1
94, 37, 156, 146, 90, 1
119, 12, 123, 101, 167, 1
171, 29, 128, 112, 138, 1
110, 41, 174, 129, 139, 1
155, 21, 102, 161, 101, 1
156, 41, 112, 150, 132, 1
156, 8, 174, 122, 112, 1
135, 22, 115, 100, 147, 1
135, 11, 100, 171, 147, 1
143, 17, 135, 92, 115, 1
95, 32, 96, 123, 153, 1
149, 9, 91, 144, 113, 1
90, 25, 159, 126, 134, 1
150, 41, 135, 105, 142, 1
128, 22, 132, 161, 112, 1
115, 11, 170, 102, 145, 1
90, 31, 115, 120, 155, 1
114, 35, 138, 164, 151, 1
177, 29, 167, 116, 90, 1
165, 5, 93, 122, 143, 1
110, 45, 148, 137, 162, 1
137, 28, 91, 134, 154, 1
161, 12, 167, 91, 157, 1
